Start Time, 2023-03-01 00:00:00
End Time, 2023-03-02 23:59:59
All Campaigns of:
Advertiser: TCP - Beverages(SO16O37QYVFV)
campaign_id,campaign_name,campaign_status,Campaign Budget Type,campaign_budget,campaign_spend,views,clicks,CTR,average_cpc,ppv_direct_click,ppv_indirect_click,units_direct_click,units_indirect_click,units_direct_view,units_indirect_view,CVR,revenue_direct_click,revenue_indirect_click,revenue_direct_view,revenue_indirect_view,Direct ROI,Indirect ROI
SFIJB4WTQR6W,PCA - Flipkart - Gold Darjeeling - Jan 23,LIVE,TOTAL_BUDGET,28811.0,8872.0000,38418,388,1.0099,22.8660,414,1,10,0,406,1,1.0747,3179.0000,0.0000,152422.0000,345.0000,17.5384,0.0389
BGQRZ0W51IKD,PCA - Flipkart - Tata Tea Premium - Jan 23,LIVE,TOTAL_BUDGET,163680.0,7010.0000,36554,701,1.9177,10.0000,784,1,37,1,263,4,0.4351,18504.0000,495.0000,87111.0000,1980.0000,15.0663,0.3531
HP8O3OSE91BP,PCA - Flipkart - Tata Tea Premium IC - Feb 23,LIVE,TOTAL_BUDGET,28000.0,2086.2000,18075,342,1.8921,6.1000,556,0,22,0,65,0,0.2544,9099.0000,0.0000,23221.0000,0.0000,15.4923,0.0000
5QNCJDC75G2O,PCA - Flipkart - Tetley Green - Jan 23,LIVE,TOTAL_BUDGET,74000.0,3094.0000,13703,182,1.3282,17.0000,134,0,8,0,16,0,0.1319,3771.0000,0.0000,7177.0000,0.0000,3.5385,0.0000
ND6VUZQDQM18,PCA - Flipkart - Teaveda Keyword - Jan 23,LIVE,TOTAL_BUDGET,23284.0,2560.0000,9406,88,0.9356,29.0909,47,0,6,0,4,1,0.1250,1264.0000,0.0000,824.0000,299.0000,0.8156,0.1168
CRLHEUAQTXY0,PCA - Flipkart - Tata Tea Gold 750 - Jan 23,LIVE,TOTAL_BUDGET,89840.0,2176.0000,8781,136,1.5488,16.0000,202,0,16,0,73,0,0.6544,5891.0000,0.0000,26412.0000,0.0000,14.8451,0.0000
KRBLLW8OFNU3,PCA - Flipkart - Tetley Green Keyword - Jan 23,LIVE,TOTAL_BUDGET,52400.0,1272.0000,7810,106,1.3572,12.0000,92,0,7,0,13,0,0.1887,3355.0000,0.0000,5184.0000,0.0000,6.7131,0.0000
IJN2RYKY2HDM,PCA - Flipkart - Chakra Gold Care - Feb 23,LIVE,TOTAL_BUDGET,10000.0,2048.0000,7501,38,0.5066,53.8947,5,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GRGTNFF6NIF3,PCA - Flipkart - Teaveda - Jan 23,LIVE,TOTAL_BUDGET,32100.0,1386.0000,6711,51,0.7599,27.1765,25,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2XN9CE8LNN7U,PCA - Flipkart - Agni - Jan 23,LIVE,TOTAL_BUDGET,229600.0,2592.0000,5746,162,2.8194,16.0000,215,0,7,0,39,0,0.2840,1464.0000,0.0000,13365.0000,0.0000,5.7211,0.0000
2BG43OWXIXAW,PCA - Flipkart - Tata Tea Premium Keyword - Jan 23,LIVE,TOTAL_BUDGET,134000.0,1840.0000,5647,115,2.0365,16.0000,113,0,3,0,28,0,0.2696,1620.0000,0.0000,11404.0000,0.0000,7.0783,0.0000
SAOM1P28BQXZ,PCA - Flipkart - Tata Coffee Gold - Jan 23,LIVE,TOTAL_BUDGET,36320.0,550.0000,3832,55,1.4353,10.0000,33,0,3,0,3,0,0.1091,1009.0000,0.0000,2323.0000,0.0000,6.0582,0.0000
P146M3D4TFUN,PCA - Flipkart - Tata Tea Gold Care - Feb 23,LIVE,TOTAL_BUDGET,28000.0,560.0000,2932,35,1.1937,16.0000,53,0,4,0,35,0,1.1143,1573.0000,0.0000,11228.0000,0.0000,22.8589,0.0000
PE06GKAY42F7,PCA - Flipkart - Tata Tea Gold IC - Feb 23,LIVE,TOTAL_BUDGET,7000.0,152.5000,2696,25,0.9273,6.1000,61,0,5,0,35,0,1.6000,1260.0000,0.0000,13487.0000,0.0000,96.7016,0.0000
1J6COJZFJRPR,PCA - Flipkart - Tata Tea Gold Keyword - Jan 23,LIVE,TOTAL_BUDGET,47416.0,612.0000,2316,34,1.4680,18.0000,79,0,2,0,6,0,0.2353,689.0000,0.0000,1790.0000,0.0000,4.0507,0.0000
7PWW5LP2KX44,PCA - Flipkart - Tata Tea Gold - Jan 23,LIVE,TOTAL_BUDGET,56688.0,512.0000,2289,32,1.3980,16.0000,27,0,1,0,6,0,0.2188,338.0000,0.0000,2664.0000,0.0000,5.8633,0.0000
4DFFCUDH4064,PCA - Flipkart - Tetley Black - Jan 23,LIVE,TOTAL_BUDGET,22024.0,322.0000,1654,14,0.8464,23.0000,9,0,0,0,2,0,0.1429,0.0000,0.0000,690.0000,0.0000,2.1429,0.0000
94RGTP4SFLIF,PCA - Flipkart - Tetley Green IC - Feb 23,LIVE,TOTAL_BUDGET,7000.0,135.0000,1022,9,0.8806,15.0000,13,0,0,0,2,0,0.2222,0.0000,0.0000,948.0000,0.0000,7.0222,0.0000
SV7FUJ0SJM9W,PCA - Flipkart - Tetley Black IC - Feb 23,LIVE,TOTAL_BUDGET,7000.0,140.0000,481,7,1.4553,20.0000,11,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
