Start Time, 2023-02-27 00:00:00
End Time, 2023-03-02 23:59:59
All Campaigns of:
Advertiser: Vanish(C18XVZJB4GD7)
Campaign ID,Campaign Name,campaign_status,campaign_budget,Ad Spend,Views,Add to Baskets,Add to Basket Rate,CVR,Units Sold (Direct),Units Sold (Indirect),Direct Revenue,Indirect Revenue,ROI (Direct),ROI (Indirect)
3N9RRNV9NWH9,VANISH_FSN_ALL_PLA_SM_MAR-23,LIVE,10000.0,3859.2000,41089,197,0.4794,116.2437,118,111,12876.0000,12101.0000,3.3364,3.1356
EJDQ66X0S2Y5,VANISH_FSN_ALL_PLA_SM_Feb-23,COMPLETED,30000.0,1622.7800,22048,121,0.5488,195.0413,106,130,11046.0000,14857.0000,6.8068,9.1553
GUR8UBFJOL5Q,VANISH_FSN_ALL_KW_CAT_PLA_SM_Feb-23,COMPLETED,19000.0,1852.2000,14013,83,0.5923,93.9759,37,41,3871.0000,5156.0000,2.0899,2.7837
NA3HBL3QJNZA,VANISH_FSN_ALL_PLA_BRAND_SM_MAR-23,LIVE,10000.0,1912.5000,13199,102,0.7728,125.4902,85,43,8256.0000,4535.0000,4.3169,2.3712
6DEFTWC6E77S,VANISH_FSN_ALL_PLA_COMP_SM_MAR-23,LIVE,10000.0,1260.0000,12719,67,0.5268,94.0299,30,33,3354.0000,4034.0000,2.6619,3.2016
0K2C8GAF2NIE,VANISH_FSN_ALL_PLA_CAT_SM_MAR-23,LIVE,10000.0,1056.0000,12301,58,0.4715,68.9655,27,13,2646.0000,1946.0000,2.5057,1.8428
1652R8O0H8DN,VANISH_FSN_ALL_KW_BRAND_PLA_SM_Feb-23,COMPLETED,19000.0,865.8000,9229,43,0.4659,132.5581,26,31,2895.0000,3319.0000,3.3437,3.8334
YLTQ2TKH048X,VANISH_FSN_ALL_KW_COMP_PLA_SM_Feb-23,COMPLETED,16000.0,507.0000,5093,28,0.5498,71.4286,11,9,1152.0000,1238.0000,2.2722,2.4418
GBP7706WEYXM,VANISH_FSN_LDTEUD6FJHBVKGHC_ALL_KW_PLA_SM_Feb-23,COMPLETED,3000.0,260.5500,1211,15,1.2386,100.0000,12,3,1703.0000,408.0000,6.5362,1.5659
VU1TJDUNM6H9,VANISH_FSN_LDTEUD6FJHBVKGHC_KW_EX_PLA_SM_Feb-23,COMPLETED,2000.0,31.8600,972,3,0.3086,233.3333,4,3,614.0000,165.0000,19.2718,5.1789
11A55Y8T1P73,Test - PLA - 21 Jan-Copy,PAUSED,1005.0,9.6000,310,1,0.3226,0.0000,0,0,0.0000,0.0000,0.0000,0.0000
