**** Instructions: This is a sample file. Please don't edit first 2 rows. Add Keywords from row 3 and only one keyword per line. You can enter a maximum of 200 keywords ****,
Broad, Exact
stain removerx,fabric whitenerx
fabric conditionerx,stain removerx
stain removersx,fabric conditionerx
fabric whitenerx,fabric conditionersx
washing powdersx,stain removers for clothesx
bleach clothesx,detergentsx
stain remover for clothesx,bleach clothesx
stain remover liquidx,detergent powderx
stain removalx,stain remover liquidx
bleach liquidx,stain removalx
detergentsx,stain remover for clothesx
detergent powderx,stain remover clothesx
stain removers for clothesx,bleachx
detergents powderx,detergents powderx
stain remover clothesx,washing powdersx
bleachx,stain removersx
fabric conditionersx,bleach liquidx
